Arquivo	Variável	Descrição
Alterações_rede_SPTrans.shp	a_nlin	Atual oferta de linhas
Alterações_rede_SPTrans.shp	n_nlin	Nova oferta de linhas
Alterações_rede_SPTrans.shp	n_nlug	Nova oferta de lugares
Alterações_rede_SPTrans.shp	a_nlug	Atual oferta de lugares
